,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,2.05,3.41,6.16,10.09,14.56,18.61,21.12,21.13,17.84,12.98,7.49,3.42
1,0.28,0.28,0.25,0.27,0.26,0.28,0.26,0.28,0.28,0.28,0.31,0.27
