,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1.86,1.90,4.77,9.23,14.49,18.45,19.61,19.73,16.59,11.83,7.02,3.69
1,0.30,0.22,0.20,0.21,0.25,0.39,0.40,0.28,0.22,0.21,0.35,0.43
