,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-11.11,-11.27,-6.60,-0.55,6.34,12.59,14.95,13.29,7.90,1.79,-3.77,-8.42
1,0.26,0.26,0.25,0.23,0.25,0.27,0.27,0.26,0.25,0.25,0.27,0.27
