,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-2.76,-4.14,-1.87,1.87,6.99,12.63,15.39,15.31,11.54,7.20,3.05,-0.20
1,1.10,0.89,0.68,1.01,1.54,1.59,1.14,0.79,0.76,0.95,1.27,1.32
