,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,27.63,27.95,28.62,29.14,29.90,30.31,30.38,30.72,30.79,30.32,29.52,28.18
1,0.34,0.34,0.35,0.37,0.36,0.36,0.35,0.33,0.33,0.34,0.34,0.35
