,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,4.42,4.25,5.14,6.30,8.83,11.41,13.29,13.92,12.91,10.63,7.70,5.85
1,1.05,0.99,0.99,1.01,1.02,1.04,1.05,1.02,0.99,1.01,1.07,1.10
