,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,22.88,22.98,22.99,22.43,21.72,20.58,20.22,21.11,22.49,23.48,23.64,23.06
1,0.34,0.28,0.27,0.27,0.26,0.27,0.28,0.30,0.30,0.26,0.26,0.31
