,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,27.33,27.61,28.14,28.64,29.41,30.11,30.34,30.65,30.62,30.14,29.28,27.87
1,0.36,0.35,0.36,0.37,0.35,0.35,0.38,0.37,0.35,0.35,0.35,0.35
