,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,8.17,9.02,11.29,14.31,17.24,19.30,20.15,19.72,17.99,15.08,11.72,9.12
1,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12
