,id,Code,Temp
217,4.0,AFG,-0.46299999999999997
92,8.0,ALB,-0.561
203,10.0,ATA,
116,12.0,DZA,-0.6579999999999999
138,20.0,AND,-0.846
18,24.0,AGO,-0.41600000000000004
181,28.0,ATG,-0.611
54,31.0,AZE,-0.359
91,32.0,ARG,-0.713
36,36.0,AUS,-0.212
41,40.0,AUT,-0.6
201,44.0,BHS,-0.465
183,48.0,BHR,-0.335
176,50.0,BGD,-0.541
189,51.0,ARM,-0.39399999999999996
126,52.0,BRB,-0.626
57,56.0,BEL,-0.725
121,64.0,BTN,-0.473
68,68.0,BOL,
40,70.0,BIH,-0.573
123,72.0,BWA,-0.5329999999999999
5,76.0,BRA,
156,84.0,BLZ,-0.856
79,90.0,SLB,
75,100.0,BGR,-0.514
135,104.0,MMR,-0.6679999999999999
89,108.0,BDI,
169,112.0,BLR,-0.513
2,116.0,KHM,-0.5539999999999999
131,120.0,CMR,-0.588
30,124.0,CAN,-0.758
166,132.0,CPV,-0.623
13,140.0,CAF,
204,144.0,LKA,-0.35
117,148.0,TCD,
145,152.0,CHL,-0.7340000000000001
3,156.0,CHN,-0.542
225,170.0,COL,
216,174.0,COM,
94,178.0,COG,-0.6990000000000001
210,180.0,COD,-0.611
192,188.0,CRI,
140,191.0,HRV,-0.594
50,192.0,CUB,-0.588
173,196.0,CYP,-0.563
149,203.0,CZE,-0.6579999999999999
160,204.0,BEN,-0.528
90,208.0,DNK,-0.575
174,212.0,DMA,-0.607
170,214.0,DOM,-0.612
96,218.0,ECU,
86,222.0,SLV,-0.7959999999999999
9,226.0,GNQ,-0.5760000000000001
177,231.0,ETH,-0.359
77,232.0,ERI,-0.4
158,233.0,EST,-0.449
66,242.0,FJI,
48,246.0,FIN,-0.466
34,250.0,FRA,-0.787
163,262.0,DJI,-0.27399999999999997
141,266.0,GAB,-0.5660000000000001
93,268.0,GEO,-0.396
4,270.0,GMB,-0.379
63,276.0,DEU,-0.6579999999999999
15,288.0,GHA,-0.547
108,296.0,KIR,
74,300.0,GRC,-0.574
88,304.0,GRL,-1.541
76,308.0,GRD,-0.635
191,320.0,GTM,-0.846
214,324.0,GIN,-0.505
70,328.0,GUY,-0.73
118,332.0,HTI,-0.585
200,340.0,HND,-0.764
107,348.0,HUN,-0.615
171,352.0,ISL,-0.79
31,356.0,IND,-0.54
147,360.0,IDN,-0.628
190,364.0,IRN,-0.331
84,368.0,IRQ,-0.444
83,372.0,IRL,-0.5760000000000001
46,376.0,ISR,-0.564
87,380.0,ITA,-0.642
110,384.0,CIV,-0.9229999999999999
196,388.0,JAM,-0.59
114,392.0,JPN,-0.7609999999999999
130,398.0,KAZ,-0.632
37,400.0,JOR,-0.583
206,404.0,KEN,
153,408.0,PRK,-0.6509999999999999
207,410.0,KOR,-0.778
178,414.0,KWT,-0.37200000000000005
25,417.0,KGZ,-0.586
193,418.0,LAO,-0.574
188,422.0,LBN,-0.5489999999999999
215,426.0,LSO,-0.635
99,428.0,LVA,-0.46399999999999997
197,430.0,LBR,-0.564
72,434.0,LBY,-0.608
164,438.0,LIE,-0.635
136,440.0,LTU,-0.501
212,442.0,LUX,-0.72
120,450.0,MDG,-0.654
82,454.0,MWI,
52,458.0,MYS,-0.5870000000000001
103,466.0,MLI,-0.54
106,470.0,MLT,-0.527
187,478.0,MRT,-0.465
167,480.0,MUS,-0.609
221,484.0,MEX,-0.765
218,492.0,MCO,-0.773
129,496.0,MNG,-0.43700000000000006
134,498.0,MDA,-0.506
21,499.0,MNE,-0.541
14,504.0,MAR,-0.667
97,508.0,MOZ,
17,512.0,OMN,-0.34600000000000003
179,516.0,NAM,-0.467
224,524.0,NPL,-0.5820000000000001
157,528.0,NLD,-0.685
223,554.0,NZL,-0.588
53,558.0,NIC,-0.7340000000000001
56,562.0,NER,-0.57
182,566.0,NGA,-0.551
69,578.0,NOR,-0.375
113,583.0,FSM,
12,585.0,PLW,
101,586.0,PAK,-0.493
219,591.0,PAN,
115,598.0,PNG,
155,600.0,PRY,-0.59
132,604.0,PER,
112,608.0,PHL,-0.675
23,616.0,POL,-0.564
44,620.0,PRT,-0.799
16,624.0,GNB,-0.435
143,626.0,TLS,-0.505
47,634.0,QAT,-0.32799999999999996
11,642.0,ROU,-0.535
185,643.0,RUS,-0.46
38,646.0,RWA,
10,659.0,KNA,-0.617
59,662.0,LCA,-0.629
146,670.0,VCT,-0.632
49,674.0,SMR,-0.638
111,678.0,STP,-0.838
162,682.0,SAU,-0.425
184,686.0,SEN,-0.389
209,688.0,SRB,-0.679
1,690.0,SYC,
81,694.0,SLE,-0.5479999999999999
168,702.0,SGP,-0.5920000000000001
142,703.0,SVK,-0.645
95,704.0,VNM,-0.602
8,705.0,SVN,-0.607
78,706.0,SOM,-0.35100000000000003
208,710.0,ZAF,-0.598
35,716.0,ZWE,-0.5589999999999999
39,724.0,ESP,-0.813
67,729.0,SDN,
32,740.0,SUR,
213,748.0,SWZ,-0.495
102,752.0,SWE,-0.38299999999999995
144,756.0,CHE,-0.775
122,760.0,SYR,-0.541
133,762.0,TJK,-0.618
205,764.0,THA,-0.526
100,768.0,TGO,-0.541
137,776.0,TON,-0.64
152,780.0,TTO,-0.6459999999999999
175,784.0,ARE,-0.331
71,788.0,TUN,-0.539
80,792.0,TUR,-0.518
98,795.0,TKM,-0.49
161,800.0,UGA,
51,804.0,UKR,-0.495
124,807.0,MKD,-0.5579999999999999
127,818.0,EGY,-0.628
27,826.0,GBR,-0.6609999999999999
198,834.0,TZA,
0,840.0,USA,-0.595
159,854.0,BFA,-0.517
109,858.0,URY,-0.6679999999999999
139,860.0,UZB,-0.535
22,862.0,VEN,-0.735
24,882.0,WSM,
73,887.0,YEM,-0.303
220,894.0,ZMB,
6,,REU,
7,,GGY,-0.738
19,,MAF,-0.624
20,,ABW,-0.637
26,,SPM,-0.703
28,,FRO,-0.617
29,,MNP,
33,,TCA,-0.5579999999999999
42,,ASM,
43,,GUM,
45,,CUW,-0.769
55,,MYT,
58,,NCL,-0.65
60,,SGS,
61,,FLK,-0.866
62,,MSR,-0.588
64,,PRI,-0.648
65,,BLM,-0.7120000000000001
85,,PSE,-0.637
104,,AIA,-0.624
105,,VGB,-0.63
119,,IMN,-0.5820000000000001
125,,VIR,-0.638
128,,MAC,-0.943
148,,ESH,-0.551
150,,TWN,-0.852
151,,CYM,-0.584
154,,NIU,-0.863
165,,JEY,-0.738
172,,GUF,-0.8059999999999999
180,,HMD,
186,,SJM,-0.573
194,,HKG,-0.943
195,,PYF,-0.97
199,,MTQ,-0.585
202,,ATF,
211,,ALA,-0.469
222,,SXM,-0.624
226,,GLP,-0.588
