,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-1.39,0.71,4.23,8.52,13.13,16.77,18.42,17.92,14.65,9.58,4.67,0.07
1,1.58,1.54,1.53,1.55,1.56,1.57,1.58,1.56,1.52,1.54,1.55,1.57
