,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-14.58,-11.66,-5.25,1.39,6.98,11.45,14.03,13.13,8.34,1.37,-6.04,-12.36
1,0.22,0.19,0.17,0.17,0.17,0.20,0.19,0.18,0.19,0.18,0.18,0.23
