,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,4.09,5.02,8.38,12.04,16.57,19.64,20.79,21.00,18.61,14.06,8.64,5.38
1,0.58,0.47,0.43,0.45,0.53,0.61,0.58,0.49,0.45,0.45,0.57,0.65
