,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-3.04,-1.02,3.17,9.08,14.27,17.92,19.55,19.20,15.30,9.83,4.76,-0.29
1,0.52,0.28,0.18,0.30,0.28,0.26,0.29,0.29,0.20,0.13,0.30,0.50
