,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,30.16,30.81,30.72,30.35,30.45,29.86,29.39,29.98,30.63,30.44,30.10,29.66
1,0.79,0.77,0.77,0.77,0.78,0.85,0.91,0.85,0.81,0.90,0.87,0.80
