,id,Code,Temp
217,4.0,AFG,-0.591
92,8.0,ALB,-0.569
203,10.0,ATA,
116,12.0,DZA,-0.7909999999999999
138,20.0,AND,-0.303
18,24.0,AGO,-0.389
181,28.0,ATG,-0.6709999999999999
54,31.0,AZE,-0.826
91,32.0,ARG,
36,36.0,AUS,-0.39299999999999996
41,40.0,AUT,0.27399999999999997
201,44.0,BHS,-0.44299999999999995
183,48.0,BHR,-0.33799999999999997
176,50.0,BGD,-0.5
189,51.0,ARM,-0.792
126,52.0,BRB,-0.6559999999999999
57,56.0,BEL,0.249
121,64.0,BTN,-0.162
68,68.0,BOL,
40,70.0,BIH,-0.23199999999999998
123,72.0,BWA,
5,76.0,BRA,
156,84.0,BLZ,-0.254
79,90.0,SLB,
75,100.0,BGR,-0.578
135,104.0,MMR,-0.858
89,108.0,BDI,
169,112.0,BLR,-0.319
2,116.0,KHM,-0.861
131,120.0,CMR,
30,124.0,CAN,-0.8909999999999999
166,132.0,CPV,-1.258
13,140.0,CAF,
204,144.0,LKA,-0.797
117,148.0,TCD,
145,152.0,CHL,
3,156.0,CHN,-0.765
225,170.0,COL,
216,174.0,COM,
94,178.0,COG,-0.662
210,180.0,COD,-0.685
192,188.0,CRI,
140,191.0,HRV,-0.129
50,192.0,CUB,-0.442
173,196.0,CYP,-1.102
149,203.0,CZE,0.23199999999999998
160,204.0,BEN,
90,208.0,DNK,0.39399999999999996
174,212.0,DMA,-0.654
170,214.0,DOM,-0.648
96,218.0,ECU,
86,222.0,SLV,-0.3
9,226.0,GNQ,
177,231.0,ETH,-0.366
77,232.0,ERI,-0.298
158,233.0,EST,-0.214
66,242.0,FJI,-1.006
48,246.0,FIN,-0.319
34,250.0,FRA,-0.033
163,262.0,DJI,-0.209
141,266.0,GAB,
93,268.0,GEO,-0.843
4,270.0,GMB,
63,276.0,DEU,0.384
15,288.0,GHA,
108,296.0,KIR,
74,300.0,GRC,-0.8420000000000001
88,304.0,GRL,
76,308.0,GRD,-0.685
191,320.0,GTM,-0.222
214,324.0,GIN,
70,328.0,GUY,
118,332.0,HTI,-0.647
200,340.0,HND,-0.36
107,348.0,HUN,-0.08800000000000001
171,352.0,ISL,-0.617
31,356.0,IND,-0.423
147,360.0,IDN,-0.65
190,364.0,IRN,-0.588
84,368.0,IRQ,-0.679
83,372.0,IRL,-0.184
46,376.0,ISR,-1.012
87,380.0,ITA,-0.515
110,384.0,CIV,
196,388.0,JAM,-0.605
114,392.0,JPN,-1.72
130,398.0,KAZ,
37,400.0,JOR,-0.9229999999999999
206,404.0,KEN,
153,408.0,PRK,-1.5619999999999998
207,410.0,KOR,-1.65
178,414.0,KWT,-0.45899999999999996
25,417.0,KGZ,-0.5
193,418.0,LAO,-1.0
188,422.0,LBN,-1.001
215,426.0,LSO,
99,428.0,LVA,-0.12300000000000001
197,430.0,LBR,
72,434.0,LBY,-1.064
164,438.0,LIE,0.146
136,440.0,LTU,-0.073
212,442.0,LUX,0.22
120,450.0,MDG,
82,454.0,MWI,
52,458.0,MYS,-0.638
103,466.0,MLI,
106,470.0,MLT,-0.9209999999999999
187,478.0,MRT,-0.929
167,480.0,MUS,
221,484.0,MEX,-0.53
218,492.0,MCO,-0.44299999999999995
129,496.0,MNG,
134,498.0,MDA,-0.631
21,499.0,MNE,-0.401
14,504.0,MAR,-0.792
97,508.0,MOZ,
17,512.0,OMN,-0.325
179,516.0,NAM,
224,524.0,NPL,-0.077
157,528.0,NLD,0.424
223,554.0,NZL,-1.209
53,558.0,NIC,-0.46299999999999997
56,562.0,NER,
182,566.0,NGA,
69,578.0,NOR,-0.078
113,583.0,FSM,
12,585.0,PLW,
101,586.0,PAK,-0.51
219,591.0,PAN,
115,598.0,PNG,
155,600.0,PRY,
132,604.0,PER,
112,608.0,PHL,
23,616.0,POL,0.096
44,620.0,PRT,-0.175
16,624.0,GNB,
143,626.0,TLS,-1.081
47,634.0,QAT,-0.363
11,642.0,ROU,-0.46399999999999997
185,643.0,RUS,
38,646.0,RWA,
10,659.0,KNA,-0.6990000000000001
59,662.0,LCA,-0.68
146,670.0,VCT,-0.6970000000000001
49,674.0,SMR,-0.35
111,678.0,STP,-0.7170000000000001
162,682.0,SAU,-0.423
184,686.0,SEN,
209,688.0,SRB,-0.326
1,690.0,SYC,
81,694.0,SLE,
168,702.0,SGP,-0.5589999999999999
142,703.0,SVK,-0.013999999999999999
95,704.0,VNM,-1.046
8,705.0,SVN,-0.015
78,706.0,SOM,-0.374
208,710.0,ZAF,
35,716.0,ZWE,
39,724.0,ESP,-0.244
67,729.0,SDN,
32,740.0,SUR,
213,748.0,SWZ,
102,752.0,SWE,-0.065
144,756.0,CHE,-0.095
122,760.0,SYR,-0.883
133,762.0,TJK,-0.561
205,764.0,THA,-0.7959999999999999
100,768.0,TGO,
137,776.0,TON,-0.9570000000000001
152,780.0,TTO,-0.7140000000000001
175,784.0,ARE,-0.365
71,788.0,TUN,-0.8340000000000001
80,792.0,TUR,-0.938
98,795.0,TKM,-0.764
161,800.0,UGA,
51,804.0,UKR,-0.66
124,807.0,MKD,-0.555
127,818.0,EGY,-1.01
27,826.0,GBR,0.355
198,834.0,TZA,
0,840.0,USA,-0.778
159,854.0,BFA,
109,858.0,URY,-0.8420000000000001
139,860.0,UZB,-0.773
22,862.0,VEN,-0.826
24,882.0,WSM,
73,887.0,YEM,-0.174
220,894.0,ZMB,
6,,REU,
7,,GGY,0.1
19,,MAF,-0.8340000000000001
20,,ABW,-1.137
26,,SPM,-1.33
28,,FRO,-0.195
29,,MNP,
33,,TCA,-0.723
42,,ASM,
43,,GUM,
45,,CUW,-0.83
55,,MYT,
58,,NCL,-0.633
60,,SGS,
61,,FLK,
62,,MSR,-0.868
64,,PRI,-0.6629999999999999
65,,BLM,-0.595
85,,PSE,-0.941
104,,AIA,-0.8340000000000001
105,,VGB,-0.852
119,,IMN,0.187
125,,VIR,-0.655
128,,MAC,-1.855
148,,ESH,-0.976
150,,TWN,-1.72
151,,CYM,-0.725
154,,NIU,-0.91
165,,JEY,0.1
172,,GUF,-0.753
180,,HMD,
186,,SJM,-0.685
194,,HKG,-1.9
195,,PYF,
199,,MTQ,-0.841
202,,ATF,
211,,ALA,-0.012
222,,SXM,-0.8340000000000001
226,,GLP,-0.863
