,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-6.43,-5.47,-2.53,2.23,6.90,10.31,13.27,13.21,9.35,4.18,0.01,-4.14
1,0.52,0.48,0.49,0.50,0.47,0.48,0.52,0.51,0.45,0.52,0.64,0.62
