,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,23.57,23.66,23.57,22.93,21.99,21.39,20.46,20.35,21.03,21.47,22.41,23.02
1,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.66,0.66
