,Country,RealName,Link,Code
107,Kazakhstan,Kazakstan,http://berkeleyearth.lbl.gov/regions/kazakhstan,KAZ
108,Kenya,Kenya,http://berkeleyearth.lbl.gov/regions/kenya,KEN
109,Kiribati,Kiribati,http://berkeleyearth.lbl.gov/regions/kiribati,KIR
110,Kuwait,Kuwait,http://berkeleyearth.lbl.gov/regions/kuwait,KWT
111,Kyrgyzstan,Kyrgyzstan,http://berkeleyearth.lbl.gov/regions/kyrgyzstan,KGZ
112,Laos,Lao (People's Democratic Republic),http://berkeleyearth.lbl.gov/regions/laos,LAO
113,Latvia,Latvia,http://berkeleyearth.lbl.gov/regions/latvia,LVA
114,Lebanon,Lebanon,http://berkeleyearth.lbl.gov/regions/lebanon,LBN
115,Lesotho,Lesotho,http://berkeleyearth.lbl.gov/regions/lesotho,LSO
116,Liberia,Liberia,http://berkeleyearth.lbl.gov/regions/liberia,LBR
117,Libya,Libyan Arab Jamahiriya,http://berkeleyearth.lbl.gov/regions/libya,LBY
118,Liechtenstein,Liechtenstein,http://berkeleyearth.lbl.gov/regions/liechtenstein,LIE
119,Lithuania,Lithuania,http://berkeleyearth.lbl.gov/regions/lithuania,LTU
120,Luxembourg,Luxembourg,http://berkeleyearth.lbl.gov/regions/luxembourg,LUX
121,Macau,Macao,http://berkeleyearth.lbl.gov/regions/macau,MAC
122,Macedonia,Macedonia (The Former Yugoslav Republic Of),http://berkeleyearth.lbl.gov/regions/macedonia,MKD
123,Madagascar,Madagascar,http://berkeleyearth.lbl.gov/regions/madagascar,MDG
124,Malawi,Malawi,http://berkeleyearth.lbl.gov/regions/malawi,MWI
125,Malaysia,Malaysia,http://berkeleyearth.lbl.gov/regions/malaysia,MYS
126,Mali,Mali,http://berkeleyearth.lbl.gov/regions/mali,MLI
127,Malta,Malta,http://berkeleyearth.lbl.gov/regions/malta,MLT
128,Martinique,Martinique,http://berkeleyearth.lbl.gov/regions/martinique,MTQ
129,Mauritania,Mauritania,http://berkeleyearth.lbl.gov/regions/mauritania,MRT
130,Mauritius,Mauritius,http://berkeleyearth.lbl.gov/regions/mauritius,MUS
131,Mayotte,Mayotte,http://berkeleyearth.lbl.gov/regions/mayotte,MYT
132,Mexico,Mexico,http://berkeleyearth.lbl.gov/regions/mexico,MEX
133,Moldova,Moldova (Republic of),http://berkeleyearth.lbl.gov/regions/moldova,MDA
134,Monaco,Monaco,http://berkeleyearth.lbl.gov/regions/monaco,MCO
135,Mongolia,Mongolia,http://berkeleyearth.lbl.gov/regions/mongolia,MNG
136,Montenegro,Montenegro,http://berkeleyearth.lbl.gov/regions/montenegro,MNE
137,Montserrat,Montserrat,http://berkeleyearth.lbl.gov/regions/montserrat,MSR
138,Morocco,Morocco,http://berkeleyearth.lbl.gov/regions/morocco,MAR
139,Mozambique,Mozambique,http://berkeleyearth.lbl.gov/regions/mozambique,MOZ
140,Namibia,Namibia,http://berkeleyearth.lbl.gov/regions/namibia,NAM
141,Nepal,Nepal,http://berkeleyearth.lbl.gov/regions/nepal,NPL
142,Netherlands (Europe),Netherlands,http://berkeleyearth.lbl.gov/regions/netherlands-(europe),NLD
143,New Caledonia,New Caledonia,http://berkeleyearth.lbl.gov/regions/new-caledonia,NCL
144,New Zealand,New Zealand,http://berkeleyearth.lbl.gov/regions/new-zealand,NZL
145,Nicaragua,Nicaragua,http://berkeleyearth.lbl.gov/regions/nicaragua,NIC
146,Niger,Niger,http://berkeleyearth.lbl.gov/regions/niger,NER
147,Nigeria,Nigeria,http://berkeleyearth.lbl.gov/regions/nigeria,NGA
148,Niue,Niue,http://berkeleyearth.lbl.gov/regions/niue,NIU
149,North Korea,Korea (Democratic People's Republic of),http://berkeleyearth.lbl.gov/regions/north-korea,PRK
150,Northern Mariana Islands,Northern Mariana Islands,http://berkeleyearth.lbl.gov/regions/northern-mariana-islands,MNP
151,Norway,Norway,http://berkeleyearth.lbl.gov/regions/norway,NOR
152,Oman,Oman,http://berkeleyearth.lbl.gov/regions/oman,OMN
153,Pakistan,Pakistan,http://berkeleyearth.lbl.gov/regions/pakistan,PAK
154,Palau,Palau,http://berkeleyearth.lbl.gov/regions/palau,PLW
155,Palestina,Palestinian Territory (Occupied),http://berkeleyearth.lbl.gov/regions/palestina,PSE
156,Panama,Panama,http://berkeleyearth.lbl.gov/regions/panama,PAN
157,Papua New Guinea,Papua New Guinea,http://berkeleyearth.lbl.gov/regions/papua-new-guinea,PNG
158,Paraguay,Paraguay,http://berkeleyearth.lbl.gov/regions/paraguay,PRY
159,Peru,Peru,http://berkeleyearth.lbl.gov/regions/peru,PER
160,Philippines,Philippines,http://berkeleyearth.lbl.gov/regions/philippines,PHL
161,Poland,Poland,http://berkeleyearth.lbl.gov/regions/poland,POL
162,Portugal,Portugal,http://berkeleyearth.lbl.gov/regions/portugal,PRT
163,Puerto Rico,Puerto Rico,http://berkeleyearth.lbl.gov/regions/puerto-rico,PRI
164,Qatar,Qatar,http://berkeleyearth.lbl.gov/regions/qatar,QAT
165,Reunion,Reunion,http://berkeleyearth.lbl.gov/regions/reunion,REU
166,Romania,Romania,http://berkeleyearth.lbl.gov/regions/romania,ROU
167,Russia,Russia Federation,http://berkeleyearth.lbl.gov/regions/russia,RUS
168,Rwanda,Rwanda,http://berkeleyearth.lbl.gov/regions/rwanda,RWA
169,Saint BarthÃ©lemy,Saint Barthlemy,http://berkeleyearth.lbl.gov/regions/saint-barthÃ©lemy,BLM
170,Saint Kitts and Nevis,Saint Kitts & Nevis,http://berkeleyearth.lbl.gov/regions/saint-kitts-and-nevis,KNA
171,Saint Lucia,Saint Lucia,http://berkeleyearth.lbl.gov/regions/saint-lucia,LCA
172,Saint Martin,Saint Martin,http://berkeleyearth.lbl.gov/regions/saint-martin,MAF
173,Saint Pierre and Miquelon,Saint Pierre and Miquelon,http://berkeleyearth.lbl.gov/regions/saint-pierre-and-miquelon,SPM
174,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,http://berkeleyearth.lbl.gov/regions/saint-vincent-and-the-grenadines,VCT
175,Samoa,Samoa,http://berkeleyearth.lbl.gov/regions/samoa,WSM
176,San Marino,San Marino,http://berkeleyearth.lbl.gov/regions/san-marino,SMR
177,Sao Tome and Principe,Sao Tome and Principe,http://berkeleyearth.lbl.gov/regions/sao-tome-and-principe,STP
178,Saudi Arabia,Saudi Arabia,http://berkeleyearth.lbl.gov/regions/saudi-arabia,SAU
179,Senegal,Senegal,http://berkeleyearth.lbl.gov/regions/senegal,SEN
180,Serbia,Republic of Serbia,http://berkeleyearth.lbl.gov/regions/serbia,SRB
181,Seychelles,Seychelles,http://berkeleyearth.lbl.gov/regions/seychelles,SYC
182,Sierra Leone,Sierra Leone,http://berkeleyearth.lbl.gov/regions/sierra-leone,SLE
183,Singapore,Singapore,http://berkeleyearth.lbl.gov/regions/singapore,SGP
184,Sint Maarten,Sint Maarten,http://berkeleyearth.lbl.gov/regions/sint-maarten,SXM
185,Slovakia,Slovakia,http://berkeleyearth.lbl.gov/regions/slovakia,SVK
186,Slovenia,Slovenia,http://berkeleyearth.lbl.gov/regions/slovenia,SVN
187,Solomon Islands,Solomon Islands,http://berkeleyearth.lbl.gov/regions/solomon-islands,SLB
188,Somalia,Somalia,http://berkeleyearth.lbl.gov/regions/somalia,SOM
189,South Africa,South Africa,http://berkeleyearth.lbl.gov/regions/south-africa,ZAF
190,South Georgia and the South Sandwich Isla,South Georgia & The South Sandwich Islands,http://berkeleyearth.lbl.gov/regions/south-georgia-and-the-south-sandwich-isla,SGS
191,South Korea,Korea (Republic of),http://berkeleyearth.lbl.gov/regions/south-korea,KOR
192,Spain,Spain,http://berkeleyearth.lbl.gov/regions/spain,ESP
193,Sri Lanka,Sri Lanka,http://berkeleyearth.lbl.gov/regions/sri-lanka,LKA
194,Sudan,Sudan,http://berkeleyearth.lbl.gov/regions/sudan,SDN
195,Suriname,Suriname,http://berkeleyearth.lbl.gov/regions/suriname,SUR
196,Svalbard and Jan Mayen,Svalbard and Jan Mayen,http://berkeleyearth.lbl.gov/regions/svalbard-and-jan-mayen,SJM
197,Swaziland,Swaziland,http://berkeleyearth.lbl.gov/regions/swaziland,SWZ
198,Sweden,Sweden,http://berkeleyearth.lbl.gov/regions/sweden,SWE
199,Switzerland,Switzerland,http://berkeleyearth.lbl.gov/regions/switzerland,CHE
200,Syria,Syrian Arab Republic,http://berkeleyearth.lbl.gov/regions/syria,SYR
201,Taiwan,Taiwan (Province of China),http://berkeleyearth.lbl.gov/regions/taiwan,TWN
202,Tajikistan,Tajikistan,http://berkeleyearth.lbl.gov/regions/tajikistan,TJK
203,Tanzania,Tanzania (United Republic of),http://berkeleyearth.lbl.gov/regions/tanzania,TZA
204,Thailand,Thailand,http://berkeleyearth.lbl.gov/regions/thailand,THA
205,Timor-Leste,Timor-Leste,http://berkeleyearth.lbl.gov/regions/timor-leste,TLS
206,Togo,Togo,http://berkeleyearth.lbl.gov/regions/togo,TGO
207,Tonga,Tonga,http://berkeleyearth.lbl.gov/regions/tonga,TON
208,Trinidad and Tobago,Trinidad and Tobago,http://berkeleyearth.lbl.gov/regions/trinidad-and-tobago,TTO
209,Tunisia,Tunisia,http://berkeleyearth.lbl.gov/regions/tunisia,TUN
210,Turkey,Turkey,http://berkeleyearth.lbl.gov/regions/turkey,TUR
211,Turkmenistan,Turkmenistan,http://berkeleyearth.lbl.gov/regions/turkmenistan,TKM
212,Turks and Caicas Islands,Turks and Caicos Islands,http://berkeleyearth.lbl.gov/regions/turks-and-caicas-islands,TCA
213,Uganda,Uganda,http://berkeleyearth.lbl.gov/regions/uganda,UGA
214,Ukraine,Ukraine,http://berkeleyearth.lbl.gov/regions/ukraine,UKR
215,United Arab Emirates,United Arab Emirates,http://berkeleyearth.lbl.gov/regions/united-arab-emirates,ARE
216,United Kingdom (Europe),United Kingdom,http://berkeleyearth.lbl.gov/regions/united-kingdom-(europe),GBR
217,United States,United States,http://berkeleyearth.lbl.gov/regions/united-states,USA
218,Uruguay,Uruguay,http://berkeleyearth.lbl.gov/regions/uruguay,URY
219,Uzbekistan,Uzbekistan,http://berkeleyearth.lbl.gov/regions/uzbekistan,UZB
220,Venezuela,Venezuela,http://berkeleyearth.lbl.gov/regions/venezuela,VEN
221,Vietnam,Vietnam,http://berkeleyearth.lbl.gov/regions/vietnam,VNM
222,Virgin Islands,Virgin Islands (U.S.),http://berkeleyearth.lbl.gov/regions/virgin-islands,VIR
223,Western Sahara,Western Sahara,http://berkeleyearth.lbl.gov/regions/western-sahara,ESH
224,Yemen,Yemen,http://berkeleyearth.lbl.gov/regions/yemen,YEM
225,Zambia,Zambia,http://berkeleyearth.lbl.gov/regions/zambia,ZMB
226,Zimbabwe,Zimbabwe,http://berkeleyearth.lbl.gov/regions/zimbabwe,ZWE
