,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,19.66,21.39,22.41,22.40,22.25,21.70,21.17,21.06,21.23,21.34,21.08,19.63
1,0.45,0.39,0.35,0.38,0.36,0.35,0.36,0.37,0.35,0.35,0.35,0.38
