,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0.25,2.38,7.31,13.00,18.08,21.65,23.19,22.83,19.24,13.73,6.98,2.09
1,1.01,0.77,0.77,0.88,0.84,0.78,0.75,0.76,0.75,0.71,0.83,1.04
