,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-14.57,-10.38,-1.02,8.57,16.96,22.58,23.96,22.64,16.65,7.94,-3.43,-12.40
1,0.54,0.43,0.41,0.37,0.41,0.41,0.38,0.37,0.38,0.35,0.39,0.57
