,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,3.38,5.14,9.07,12.96,17.50,20.63,22.30,21.97,19.23,13.99,7.92,4.49
1,0.74,0.71,0.70,0.70,0.70,0.73,0.75,0.73,0.71,0.71,0.73,0.75
