,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,13.75,14.93,16.55,17.37,17.79,17.60,17.24,17.18,17.01,16.04,14.78,13.57
1,0.42,0.44,0.43,0.41,0.39,0.39,0.39,0.42,0.41,0.41,0.41,0.39
