,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,15.56,15.62,15.48,15.62,15.52,14.09,13.38,14.49,15.37,15.51,15.50,15.35
1,0.67,0.53,0.53,0.52,0.56,0.54,0.56,0.54,0.53,0.64,0.62,0.54
